"","GEOID10","District","total_population"
"1",281579502002,95,915
"2",281579502005,95,505
"3",280010007002,42,800
"4",280010007001,42,515
"5",280010008003,95,1070
"6",280010004003,42,865
"7",280010005001,42,720
"8",280010001003,42,1280
"9",280559501001,79,255
"10",280059502002,121,825
"11",280639501001,106,685
"12",280859502002,106,870
"13",280219502001,106,630
"14",280219503004,106,685
"15",280299503002,106,1200
"16",281499511021,106,1665
"17",281499503001,6,395
"18",281499502003,6,615
"19",281499505002,6,520
"20",281259501002,78,540
"21",281510006004,62,545
"22",281510007023,62,615
"23",281510009001,62,605
"24",281510007011,79,1205
"25",281510017003,62,625
"26",281510021001,62,905
"27",281339503003,25,425
"28",281339506002,77,995
"29",281339502001,25,795
"30",280119504005,24,575
"31",280119507021,24,1605
"32",281139505001,121,600
"33",281139506004,87,1205
"34",281139504002,121,1250
"35",281139503004,15,645
"36",280859506002,99,480
"37",280859505003,107,1195
"38",280859503003,15,780
"39",280779602002,87,1110
"40",280299501004,107,1255
"41",280299501001,117,865
"42",280490112012,106,1120
"43",280490105006,72,700
"44",280490103052,85,1110
"45",280490108081,18,1060
"46",280490108012,27,465
"47",280490112023,18,1190
"48",280490109023,46,375
"49",280490007004,85,1160
"50",280490110021,27,1075
"51",280490111023,117,1360
"52",280490111012,18,965
"53",280490036001,117,915
"54",280490022002,85,950
"55",280490037003,117,795
"56",281210204011,112,1580
"57",280539501003,77,420
"58",281639503002,72,1280
"59",281639503004,37,750
"60",280519503002,84,505
"61",281339504013,25,565
"62",280839503001,86,1540
"63",280839506004,86,550
"64",280839502001,77,260
"65",281339502002,25,990
"66",281339501004,25,595
"67",281359503003,103,580
"68",280279505002,20,855
"69",280279507002,103,485
"70",280279507001,103,1010
"71",281199503004,103,615
"72",281439501001,49,590
"73",281099504014,30,1375
"74",281479503004,35,1130
"75",280919502002,35,1300
"76",280919506003,35,810
"77",280919505001,60,1050
"78",280779602003,87,945
"79",280659501003,122,930
"80",280919501002,114,680
"81",281279504005,92,900
"82",281279504002,118,920
"83",280490006001,46,670
"84",280490038001,117,1320
"85",280490008002,26,620
"86",280490115001,27,1015
"87",280490020002,46,170
"88",280490006003,26,625
"89",280490114002,26,290
"90",280490012002,46,850
"91",280490005001,71,620
"92",280490016003,26,1020
"93",280490102023,5,1095
"94",280490027002,98,565
"95",280490101023,33,855
"96",280490101024,33,325
"97",280490002001,71,760
"98",280490002003,26,955
"99",281210207044,98,990
"100",280490014002,98,1090
"101",281210206003,112,1695
"102",281210210022,118,2550
"103",281210202085,76,730
"104",281210202082,116,2430
"105",281210208022,76,2535
"106",281210202061,63,1395
"107",281210208021,109,1840
"108",281210201012,63,1760
"109",281210209001,116,1705
"110",281210201021,111,1500
"111",280890303012,100,1795
"112",280890305001,37,2300
"113",280890309001,37,1095
"114",280519505004,37,660
"115",280519501005,37,200
"116",280839508004,86,390
"117",281359502003,20,555
"118",281079501003,70,1180
"119",280330703242,80,1465
"120",280330702211,68,1390
"121",280330703231,80,2710
"122",280330704222,80,990
"123",280330702221,68,3255
"124",280330711101,68,1930
"125",280330705201,41,5635
"126",280330710003,83,4685
"127",280330706201,41,5245
"128",280330707221,43,2575
"129",281379502004,17,940
"130",280330708212,105,2120
"131",280330709001,43,1025
"132",280450302002,55,1420
"133",280450302006,61,220
"134",280450306021,59,895
"135",280450301005,61,695
"136",280450301001,61,1250
"137",281099505013,54,1235
"138",281099505014,59,1750
"139",281099505022,54,2760
"140",280450306013,75,2215
"141",280470035022,52,1855
"142",281310202022,45,1280
"143",280730205003,60,885
"144",281099501003,75,1155
"145",280350105002,67,1320
"146",280319504003,114,1145
"147",280350102003,28,220
"148",280730203014,48,1900
"149",280350008001,36,270
"150",280350010001,28,770
"151",280350102001,28,1835
"152",280319503003,92,730
"153",281299502006,14,550
"154",281299503005,14,980
"155",281299503001,3,595
"156",280619501003,3,940
"157",281230203002,111,1040
"158",280790407001,44,1035
"159",280790407003,44,770
"160",281230202001,111,915
"161",281010502003,111,775
"162",280999401002,110,1410
"163",280990102003,66,935
"164",280070604003,44,615
"165",281559502001,11,730
"166",281619502003,89,720
"167",280719505012,32,920
"168",280139502001,91,700
"169",280139501002,11,655
"170",280139501001,91,1175
"171",280719503012,32,2370
"172",280719502021,8,2810
"173",280719504011,53,2635
"174",280939505003,53,1320
"175",280939504012,17,740
"176",280939504011,17,1195
"177",280939503001,53,800
"178",280470024003,69,690
"179",280470020002,97,585
"180",280470016004,97,515
"181",280470017005,69,1120
"182",280470017001,93,1085
"183",280470015022,104,1385
"184",280470034031,45,1660
"185",280470012012,93,825
"186",280470006003,90,210
"187",280470033012,4,650
"188",280470001001,90,130
"189",280470032052,97,1030
"190",280590402043,119,970
"191",280399503013,40,460
"192",280350101012,60,1930
"193",280350106004,60,1745
"194",280350002003,67,700
"195",280350107002,28,525
"196",280619502002,101,600
"197",280679506001,94,690
"198",280679504023,113,1580
"199",280679501004,3,455
"200",280619504003,113,695
"201",280619504001,101,980
"202",280619504004,113,1095
"203",281010503005,51,810
"204",280990107001,66,1275
"205",280990104001,66,445
"206",280990106003,66,840
"207",280990101002,96,1475
"208",281010501001,51,865
"209",280690302005,96,245
"210",281599502001,110,1250
"211",281599503001,110,360
"212",281599504004,96,540
"213",280199502003,110,725
"214",281059507001,16,1465
"215",281059506021,82,1995
"216",280179503002,91,750
"217",280179503004,11,795
"218",281159505003,91,1025
"219",281159504002,13,670
"220",281459503002,39,565
"221",281459506001,1,1085
"222",281459503003,39,1540
"223",281459504002,1,960
"224",281459505002,1,1330
"225",281399503001,22,525
